Security Type,Security ID,Security Description,Account,Trade Date,Value Date,Transaction Type,Quantity,Price Per Share,MV of Trade,Currency
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,5/20/10,,,"780,095.00",,,
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 2,5/20/10,,,"2,920,996.00",,,
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 2,1/8/15,,,"5,949,729.00",,,
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,5/26/10,6/1/10,BUY,"41,300.00",33.54,"1,385,197.87",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,5/28/10,6/3/10,BUY,"2,900.00",35.62,"103,356.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/1/10,6/4/10,BUY,"7,800.00",36.35,"283,903.17",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/9/10,6/14/10,TRANSFER,"-239,273.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/9/10,6/14/10,TRANSFER,"239,273.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/9/10,6/14/10,TRANSFER,"-29,200.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/9/10,6/14/10,TRANSFER,"29,200.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/9/10,6/14/10,TRANSFER,"254,776.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/9/10,6/14/10,TRANSFER,"-254,776.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/9/10,6/14/10,TRANSFER,"-200,589.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/9/10,6/14/10,TRANSFER,"200,589.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/9/10,6/14/10,TRANSFER,"-72,255.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/9/10,6/14/10,TRANSFER,"72,255.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/9/10,6/14/10,TRANSFER,"-36,002.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/9/10,6/14/10,TRANSFER,"36,002.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/30/10,7/6/10,BUY,"2,600.00",34.40,"89,431.34",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/30/10,7/6/10,BUY,"3,500.00",34.32,"120,190.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,7/2/10,7/8/10,BUY,"272,600.00",34.19,"9,325,755.04",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,7/7/10,7/12/10,SELL,"-3,700.00",34.67,"-128,098.83",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,7/30/10,8/4/10,SELL,"-1,510.00",36.40,"-54,932.87",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,7/30/10,8/4/10,SELL,"-49,900.00",36.40,"-1,816,360.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,7/30/10,8/4/10,SELL,"-1,190.00",36.40,"-43,316.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,8/13/10,8/18/10,SELL,"-6,443.00",35.90,"-230,978.28",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,8/23/10,8/26/10,SELL,"-1,600.00",34.03,"-54,415.08",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,8/31/10,9/3/10,SELL,"-30,784.00",33.25,"-1,023,512.59",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,8/31/10,9/3/10,SELL,"-29,227.00",33.25,"-971,745.14",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,8/31/10,9/3/10,SELL,"-44,689.00",33.25,"-1,485,828.81",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,9/1/10,9/7/10,BUY,"12,957.00",34.57,"448,137.28",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,9/7/10,9/10/10,SELL,"-5,900.00",36.68,"-216,280.31",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,9/24/10,9/29/10,BUY,"211,900.00",34.49,"7,308,431.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,9/29/10,10/4/10,BUY,"81,700.00",35.72,"2,919,958.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,9/29/10,10/4/10,BUY,700.00,35.78,"25,060.42",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,9/30/10,10/5/10,SELL,"-5,500.00",36.27,"-199,371.63",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,10/6/10,10/12/10,BUY,"5,500.00",35.74,"196,679.45",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,10/29/10,11/3/10,SELL,"-1,100.00",34.12,"-37,509.37",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,11/3/10,11/8/10,BUY,"22,900.00",34.56,"792,601.06",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,11/23/10,11/29/10,SELL,"-6,330.00",32.01,"-202,313.51",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,11/30/10,12/3/10,SELL,"-16,077.00",32.45,"-521,763.78",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,11/30/10,12/3/10,SELL,"-3,673.00",32.44,"-119,076.65",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,11/30/10,12/3/10,SELL,"-23,200.00",31.83,"-738,396.42",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,1/3/11,1/6/11,BUY,"1,652.00",37.60,"62,141.96",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,1/31/11,2/3/11,SELL,"-3,000.00",35.92,"-107,747.93",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,2/28/11,3/3/11,BUY,"40,600.00",39.82,"1,616,604.79",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,2/28/11,3/3/11,BUY,"2,921.00",39.83,"116,401.85",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/7/11,3/10/11,BUY,"1,300.00",42.03,"54,668.91",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/22/11,3/25/11,SELL,"-114,328.00",39.90,"-4,560,124.78",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/22/11,3/25/11,SELL,"-45,672.00",39.89,"-1,821,833.24",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/31/11,4/5/11,SELL,"-18,500.00",40.43,"-747,570.64",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/31/11,4/5/11,SELL,"-47,469.00",40.64,"-1,927,185.37",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,4/29/11,5/4/11,BUY,"2,400.00",37.33,"89,700.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,5/31/11,6/3/11,SELL,-843.00,34.63,"-29,193.09",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,5/31/11,6/3/11,SELL,-230.00,34.63,"-7,964.90",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,5/31/11,6/3/11,SELL,-127.00,34.63,"-4,398.01",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/20/11,6/23/11,SELL,"-8,412.00",32.32,"-271,449.18",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,6/30/11,7/6/11,BUY,"6,300.00",33.86,"213,601.50",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,7/11/11,7/14/11,SELL,"-3,938.00",32.74,"-128,731.13",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,7/18/11,7/21/11,SELL,"-8,293.00",32.32,"-267,608.30",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,7/29/11,8/3/11,BUY,200.00,33.97,"6,794.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,8/1/11,8/4/11,SELL,"-5,411.00",33.97,"-183,533.80",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,8/4/11,8/9/11,SELL,"-2,333.00",31.25,"-72,791.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,8/31/11,9/6/11,BUY,"54,000.00",29.01,"1,569,132.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,8/31/11,9/6/11,BUY,"7,200.00",29.01,"209,217.60",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,9/1/11,9/7/11,BUY,"16,300.00",29.05,"474,178.41",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,9/2/11,9/8/11,BUY,300.00,28.03,"8,422.95",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,9/7/11,9/12/11,SELL,-200.00,27.85,"-5,560.57",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,9/28/11,10/3/11,BUY,"11,500.00",23.45,"270,161.45",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,9/30/11,10/5/11,BUY,"2,700.00",22.45,"60,750.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,9/30/11,10/5/11,BUY,"66,100.00",22.44,"1,484,698.54",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,10/3/11,10/6/11,BUY,"34,200.00",21.98,"753,118.20",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,10/6/11,10/12/11,BUY,700.00,23.33,"16,362.50",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,10/6/11,10/12/11,BUY,"4,800.00",23.33,"112,200.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,10/7/11,10/13/11,SELL,"-9,716.00",23.41,"-226,998.31",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,10/24/11,10/27/11,BUY,200.00,24.86,"4,981.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,10/31/11,11/3/11,SELL,"-58,700.00",27.01,"-1,582,815.06",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,10/31/11,11/3/11,SELL,"-9,600.00",27.01,"-258,859.02",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,11/8/11,11/14/11,SELL,-300.00,28.44,"-8,518.34",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,11/30/11,12/5/11,BUY,"5,400.00",26.98,"145,708.11",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,11/30/11,12/5/11,SELL,"-2,000.00",26.99,"-53,980.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,12/1/11,12/6/11,SELL,"-1,363.00",27.49,"-37,440.75",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,12/7/11,12/12/11,SELL,-300.00,28.16,"-8,441.84",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,12/30/11,1/5/12,SELL,"-2,600.00",24.85,"-64,491.76",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,1/25/12,1/30/12,SELL,"-1,434.00",31.30,"-44,813.93",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,1/31/12,2/3/12,SELL,"-24,300.00",30.56,"-741,998.39",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,1/31/12,2/3/12,SELL,"-1,900.00",30.55,"-58,015.39",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,2/29/12,3/5/12,BUY,200.00,29.84,"5,968.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,2/29/12,3/5/12,BUY,500.00,29.84,"14,920.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/21/12,3/26/12,SELL,"-15,934.00",27.22,"-433,723.48",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/21/12,3/26/12,SELL,"-2,400.00",27.22,"-65,328.00",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/21/12,3/26/12,SELL,"-26,608.00",27.22,"-723,857.60",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/22/12,3/27/12,TRANSFER,"17,394.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/22/12,3/27/12,TRANSFER,"-17,394.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/22/12,3/27/12,TRANSFER,"-17,394.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/22/12,3/27/12,TRANSFER,"17,394.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/22/12,3/27/12,TRANSFER,"-7,200.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/22/12,3/27/12,TRANSFER,"7,200.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/22/12,3/27/12,TRANSFER,"93,378.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/22/12,3/27/12,TRANSFER,"-93,378.00",0.00,0.00,USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/22/12,3/27/12,ADDITION/WITHDRAWAL,"17,394.00",27.10,"471,317.60",USD
ISIN,US71654V4086,PETROLEO BRASILEIRO-SPON ADR,Account 1,3/22/12,3/27/12,TRANSFER,"51,390.00",0.00,0.00,USD
